placement_id,job_title,job_post_date,fill_date,days_to_fill,placement_fee,client_id,recruiter_id,candidate_country,client_country,daily_rate,is_fast_fill,fee_category
36,Data Analyst,2023-07-28,2023-08-16,19,2814.49,34,17,Pakistan,Canada,148.13,True,Medium
37,Senior IT Support,2023-02-15,2023-03-09,22,6171.42,99,5,India,UAE,280.52,True,High
38,HR Manager,2023-06-02,2023-06-24,22,5804.53,48,19,Pakistan,Australia,263.84,True,High
39,Junior Developer,2023-02-10,2023-03-03,21,1125.49,27,22,Pakistan,United States,53.59,True,Low
40,Data Analyst,2024-02-21,2024-03-19,27,3340.35,96,5,Kenya,United States,123.72,True,Medium
41,Junior Developer,2023-12-07,2024-01-06,30,2471.31,53,26,Nigeria,United States,82.38,False,Medium
42,Senior IT Support,2024-04-26,2024-05-20,24,5590.39,59,12,India,UAE,232.93,True,High
43,Junior Developer,2024-02-13,2024-03-24,40,1668.77,9,25,Nigeria,UAE,41.72,False,Low
44,HR Manager,2023-12-06,2024-01-07,32,6397.59,15,29,India,UAE,199.92,False,High
45,Data Analyst,2023-12-20,2024-01-13,24,1114.77,41,14,Pakistan,Australia,46.45,True,Low
46,HR Manager,2023-02-15,2023-03-12,25,7497.52,1,17,Philippines,Australia,299.9,True,High
47,Junior Developer,2023-12-05,2024-01-11,37,2471.31,85,28,Kenya,United Kingdom,66.79,False,Medium
48,Data Analyst,2023-10-30,2023-11-29,30,3000.68,25,14,Kenya,Canada,100.02,False,Medium
49,Junior Developer,2023-01-01,2023-02-07,37,2846.54,27,14,Kenya,Australia,76.93,False,Medium
50,Data Analyst,2023-08-07,2023-09-12,36,2394.96,95,6,Kenya,United Kingdom,66.53,False,Medium
51,Data Analyst,2023-08-29,2023-09-28,30,1280.16,29,26,India,United States,42.67,False,Low
52,Senior IT Support,2023-03-16,2023-03-31,15,4224.21,81,19,Pakistan,United States,281.61,True,Medium
53,HR Manager,2023-01-06,2023-02-12,37,5471.89,99,29,Kenya,United Kingdom,147.89,False,High
54,Junior Developer,2024-06-14,2024-07-18,34,1527.66,72,8,Nigeria,United Kingdom,44.93,False,Low
55,HR Manager,2023-11-21,2023-12-17,26,6337.89,57,20,Philippines,Australia,243.76,True,High
56,HR Manager,2024-05-01,2024-06-02,32,7486.04,97,8,Philippines,UAE,233.94,False,High
57,HR Manager,2023-03-21,2023-04-30,40,2880.25,31,9,Nigeria,UAE,72.01,False,Medium
58,Senior IT Support,2023-06-06,2023-07-06,30,3691.87,9,14,India,Canada,123.06,False,Medium
59,HR Manager,2024-03-06,2024-04-05,30,5078.87,99,19,India,United Kingdom,169.3,False,High
60,HR Manager,2023-11-02,2023-12-14,42,5384.9,54,18,Nigeria,Australia,128.21,False,High
61,Junior Developer,2024-05-12,2024-06-18,37,2464.69,44,22,Nigeria,Canada,66.61,False,Medium
62,HR Manager,2023-01-28,2023-02-25,28,7597.71,76,19,Kenya,United Kingdom,271.35,True,High
63,HR Manager,2023-02-21,2023-03-18,25,3678.5,42,7,Pakistan,Canada,147.14,True,Medium
64,HR Manager,2024-03-07,2024-04-03,27,4391.28,11,16,India,United Kingdom,162.64,True,Medium
65,Senior IT Support,2023-03-12,2023-04-15,34,7999.54,84,2,Kenya,United Kingdom,235.28,False,High
66,Senior IT Support,2024-04-29,2024-05-24,25,6106.68,73,7,India,Canada,244.27,True,High
67,Data Analyst,2023-04-28,2023-05-28,30,1503.37,21,10,Kenya,United Kingdom,50.11,False,Low
68,Data Analyst,2024-01-20,2024-02-15,26,2727.39,92,7,Kenya,United Kingdom,104.9,True,Medium
69,Junior Developer,2023-05-04,2023-06-10,37,1305.7,73,26,Kenya,United Kingdom,35.29,False,Low
70,HR Manager,2023-12-16,2024-01-15,30,4416.9,54,27,India,Canada,147.23,False,Medium
71,Data Analyst,2023-06-06,2023-06-27,21,2906.76,94,17,Pakistan,UAE,138.42,True,Medium
72,HR Manager,2023-10-02,2023-11-09,38,2394.62,32,27,Kenya,United Kingdom,63.02,False,Medium
73,Junior Developer,2024-01-24,2024-02-22,29,3251.43,64,28,India,UAE,112.12,False,Medium
74,Junior Developer,2023-10-14,2023-11-05,22,2064.47,90,29,Pakistan,UAE,93.84,True,Medium
75,Junior Developer,2024-05-15,2024-06-08,24,1256.84,31,23,Philippines,Canada,52.37,True,Low
76,HR Manager,2023-10-29,2023-12-05,37,4416.9,89,8,Kenya,UAE,119.38,False,Medium
77,Data Analyst,2024-03-11,2024-04-15,35,2419.78,71,11,Kenya,UAE,69.14,False,Medium
78,Data Analyst,2023-07-17,2023-08-19,33,1919.87,96,18,Kenya,United States,58.18,False,Low
79,HR Manager,2024-06-21,2024-07-16,25,1829.5,13,27,India,United States,73.18,True,Low
80,Data Analyst,2023-05-10,2023-06-04,25,2477.8199999999997,7,18,India,UAE,99.11,True,Medium
81,HR Manager,2023-10-19,2023-11-16,28,4416.9,57,11,Kenya,United States,157.75,True,Medium
82,HR Manager,2024-05-18,2024-06-06,19,4416.9,81,22,Pakistan,United Kingdom,232.47,True,Medium
83,Data Analyst,2024-03-02,2024-03-19,17,1255.54,80,8,Pakistan,Australia,73.86,True,Low
84,HR Manager,2024-03-15,2024-04-15,31,4486.77,80,2,Philippines,Australia,144.73,False,Medium
85,Junior Developer,2023-03-25,2023-04-21,27,2876.55,23,18,Kenya,United Kingdom,106.54,True,Medium
86,HR Manager,2023-10-26,2023-11-10,15,5252.52,37,23,Pakistan,UAE,350.17,True,High
87,Senior IT Support,2023-07-22,2023-08-24,33,6436.92,70,8,Kenya,United States,195.06,False,High
88,Junior Developer,2023-11-11,2023-12-13,32,1214.23,73,30,Nigeria,UAE,37.94,False,Low
89,HR Manager,2023-10-06,2023-10-31,25,6443.39,64,15,Philippines,United Kingdom,257.74,True,High
90,HR Manager,2023-01-27,2023-02-22,26,6672.67,87,27,Kenya,Australia,256.64,True,High
91,Data Analyst,2023-06-29,2023-07-25,26,2728.74,84,15,Kenya,UAE,104.95,True,Medium
92,HR Manager,2023-04-04,2023-04-28,24,6173.92,53,11,Pakistan,UAE,257.25,True,High
93,Junior Developer,2023-10-23,2023-11-19,27,1989.41,52,27,Kenya,Australia,73.68,True,Low
94,Senior IT Support,2024-02-18,2024-03-11,22,4572.59,1,22,Pakistan,Australia,207.84,True,Medium
95,Senior IT Support,2024-05-25,2024-06-24,30,3937.91,98,2,Philippines,United States,131.26,False,Medium
96,Junior Developer,2024-05-11,2024-06-10,30,3783.02,81,20,India,United States,126.1,False,Medium
97,Data Analyst,2023-04-06,2023-05-04,28,2652.52,15,15,Kenya,United Kingdom,94.73,True,Medium
98,HR Manager,2023-10-07,2023-11-04,28,3797.96,62,16,Kenya,United States,135.64,True,Medium
99,Junior Developer,2024-06-04,2024-07-06,32,2150.76,18,28,Philippines,United Kingdom,67.21,False,Medium
100,HR Manager,2023-10-01,2023-11-04,34,4699.38,37,24,India,UAE,138.22,False,Medium
101,HR Manager,2024-05-10,2024-06-16,37,3595.78,71,25,Nigeria,Australia,97.18,False,Medium
102,Data Analyst,2023-09-02,2023-10-03,31,3608.81,30,28,Philippines,Canada,116.41,False,Medium
103,HR Manager,2024-01-31,2024-02-20,20,3115.68,84,5,Pakistan,Canada,155.78,True,Medium
104,Data Analyst,2024-03-26,2024-04-12,17,3609.1,59,1,Pakistan,United States,212.3,True,Medium
105,Junior Developer,2023-09-29,2023-11-02,34,1224.48,89,13,Philippines,United Kingdom,36.01,False,Low
106,HR Manager,2024-05-14,2024-06-16,33,7770.7,5,20,Nigeria,United Kingdom,235.48,False,High
107,Data Analyst,2024-03-20,2024-04-21,32,3992.28,98,21,India,United Kingdom,124.76,False,Medium
108,Data Analyst,2023-02-27,2023-03-25,26,2477.8199999999997,48,14,Philippines,United States,95.3,True,Medium
109,HR Manager,2023-06-24,2023-07-24,30,5829.64,79,28,India,Canada,194.32,False,High
110,Junior Developer,2023-08-26,2023-10-01,36,2493.0,33,15,Kenya,UAE,69.25,False,Medium
111,HR Manager,2023-06-11,2023-07-07,26,7506.05,45,19,Kenya,UAE,288.69,True,High
112,Data Analyst,2024-01-29,2024-03-01,32,2370.51,14,8,Kenya,Canada,74.08,False,Medium
113,Data Analyst,2024-02-10,2024-03-12,31,3978.08,73,28,Kenya,United Kingdom,128.33,False,Medium
114,HR Manager,2023-08-24,2023-09-30,37,3498.52,46,8,Nigeria,United States,94.55,False,Medium
115,Junior Developer,2023-02-10,2023-03-12,30,2884.74,57,2,Kenya,Australia,96.16,False,Medium
116,Junior Developer,2024-03-01,2024-04-03,33,1270.4,17,26,India,Australia,38.5,False,Low
117,Data Analyst,2024-05-08,2024-06-10,33,3491.42,38,24,Nigeria,UAE,105.8,False,Medium
118,HR Manager,2023-08-20,2023-09-18,29,7814.47,93,22,Nigeria,Canada,269.46,False,High
119,Data Analyst,2023-09-28,2023-11-07,40,1270.91,59,12,Nigeria,UAE,31.77,False,Low
120,Data Analyst,2023-01-26,2023-02-27,32,1325.04,72,11,Kenya,Australia,41.41,False,Low
121,Senior IT Support,2023-11-06,2023-12-08,32,6177.02,15,5,India,United Kingdom,193.03,False,High
122,HR Manager,2023-05-19,2023-06-07,19,1348.36,48,22,Pakistan,Australia,70.97,True,Low
123,Junior Developer,2024-05-16,2024-06-18,33,3656.24,36,2,Philippines,UAE,110.8,False,Medium
124,HR Manager,2023-04-12,2023-05-11,29,7752.78,48,18,India,UAE,267.34,False,High
125,Data Analyst,2024-04-10,2024-05-01,21,1569.43,28,21,Pakistan,Australia,74.73,True,Low
126,Data Analyst,2023-07-30,2023-08-14,15,1730.71,98,18,Pakistan,United States,115.38,True,Low
127,Junior Developer,2023-01-03,2023-02-01,29,1985.68,19,5,Kenya,Australia,68.47,False,Low
128,Junior Developer,2023-05-15,2023-06-18,34,1329.78,31,19,India,UAE,39.11,False,Low
129,Data Analyst,2024-06-22,2024-07-09,17,1157.2,9,16,Pakistan,Canada,68.07,True,Low
130,Senior IT Support,2023-02-14,2023-03-19,33,5260.03,85,17,Nigeria,UAE,159.39,False,High
131,Senior IT Support,2024-02-16,2024-03-21,34,3304.13,14,16,Philippines,Canada,97.18,False,Medium
132,Data Analyst,2023-10-09,2023-10-25,16,2477.8199999999997,75,18,Pakistan,UAE,154.86,True,Medium
133,Data Analyst,2023-04-12,2023-05-15,33,2361.15,15,28,Philippines,Australia,71.55,False,Medium
134,HR Manager,2023-12-14,2024-01-12,29,5257.77,52,14,Kenya,United Kingdom,181.3,False,High
135,Data Analyst,2023-06-06,2023-07-04,28,2995.32,61,3,India,United Kingdom,106.98,True,Medium
136,Senior IT Support,2024-01-17,2024-02-15,29,5159.38,72,2,Nigeria,Australia,177.91,False,High
137,Data Analyst,2024-03-09,2024-04-10,32,3010.04,93,2,Philippines,UAE,94.06,False,Medium
138,Data Analyst,2023-06-08,2023-07-08,30,1310.8,29,28,Kenya,United Kingdom,43.69,False,Low
139,Data Analyst,2023-08-20,2023-09-19,30,1344.66,72,25,India,Australia,44.82,False,Low
140,Senior IT Support,2023-10-01,2023-11-06,36,6044.97,35,23,Kenya,UAE,167.92,False,High
141,Data Analyst,2024-02-15,2024-03-19,33,1018.32,95,21,Nigeria,United Kingdom,30.86,False,Low
142,Junior Developer,2023-06-11,2023-07-04,23,2128.58,93,11,Pakistan,Australia,92.55,True,Medium
143,Senior IT Support,2023-02-20,2023-03-19,27,3777.9,35,15,Kenya,Canada,139.92,True,Medium
144,HR Manager,2024-06-08,2024-07-11,33,5070.92,56,4,Philippines,UAE,153.66,False,High
145,HR Manager,2023-08-14,2023-09-19,36,2580.8,77,2,Kenya,United Kingdom,71.69,False,Medium
146,Junior Developer,2023-10-24,2023-11-19,26,3302.05,1,16,India,Canada,127.0,True,Medium
147,HR Manager,2023-12-29,2024-01-15,17,5662.91,95,2,Pakistan,Canada,333.11,True,High
148,Senior IT Support,2024-02-19,2024-03-12,22,7310.55,54,10,Pakistan,United Kingdom,332.3,True,High
149,Data Analyst,2024-04-16,2024-05-10,24,1515.62,47,3,Philippines,Canada,63.15,True,Low
150,Junior Developer,2023-03-22,2023-04-20,29,2307.03,40,24,Nigeria,UAE,79.55,False,Medium
151,Junior Developer,2024-06-27,2024-07-24,27,1229.14,100,12,India,UAE,45.52,True,Low
152,Junior Developer,2023-07-22,2023-08-27,36,1708.81,20,25,Kenya,United Kingdom,47.47,False,Low
153,HR Manager,2024-04-04,2024-04-29,25,2391.86,73,21,Pakistan,Australia,95.67,True,Medium
154,Data Analyst,2024-03-28,2024-04-29,32,2477.8199999999997,36,19,India,United Kingdom,77.43,False,Medium
155,Senior IT Support,2023-02-28,2023-03-30,30,4552.04,37,3,India,United Kingdom,151.73,False,Medium
156,HR Manager,2023-02-12,2023-03-19,35,5313.56,74,21,Kenya,United States,151.82,False,High
157,HR Manager,2024-04-06,2024-05-07,31,2504.1,44,23,India,United Kingdom,80.78,False,Medium
158,Junior Developer,2024-03-25,2024-04-28,34,1117.43,79,6,Philippines,UAE,32.87,False,Low
159,HR Manager,2023-02-23,2023-03-21,26,5043.85,83,11,India,United Kingdom,193.99,True,High
160,HR Manager,2023-06-03,2023-06-26,23,4420.73,75,22,India,United States,192.21,True,Medium
161,Data Analyst,2024-02-06,2024-03-10,33,3903.09,91,3,Nigeria,UAE,118.28,False,Medium
162,Data Analyst,2024-06-23,2024-07-23,30,3439.55,86,14,Philippines,Australia,114.65,False,Medium
163,Data Analyst,2023-12-16,2024-01-07,22,1926.6,63,7,India,United States,87.57,True,Low
164,Senior IT Support,2024-06-03,2024-06-20,17,4478.96,95,29,Pakistan,Australia,263.47,True,Medium
165,Data Analyst,2024-01-21,2024-02-15,25,3629.18,24,27,Pakistan,Australia,145.17,True,Medium
166,Junior Developer,2024-01-09,2024-02-20,42,2471.31,31,15,Nigeria,Australia,58.84,False,Medium
167,HR Manager,2024-04-25,2024-05-29,34,4170.01,25,12,India,Australia,122.65,False,Medium
168,Data Analyst,2024-03-04,2024-04-04,31,3334.37,26,26,Philippines,Australia,107.56,False,Medium
169,Senior IT Support,2023-04-16,2023-05-05,19,6205.9,67,28,Pakistan,United Kingdom,326.63,True,High
170,Junior Developer,2023-05-31,2023-06-23,23,1818.37,12,30,India,United States,79.06,True,Low
171,Data Analyst,2024-02-10,2024-03-16,35,3791.42,31,13,Nigeria,United Kingdom,108.33,False,Medium
172,Senior IT Support,2023-12-10,2024-01-04,25,4593.42,18,2,India,UAE,183.74,True,Medium
173,HR Manager,2024-04-25,2024-06-05,41,3088.22,1,29,Nigeria,United Kingdom,75.32,False,Medium
174,Junior Developer,2024-06-24,2024-07-13,19,3504.89,100,10,Pakistan,United States,184.47,True,Medium
175,Senior IT Support,2024-04-13,2024-05-06,23,4192.2,64,20,India,Australia,182.27,True,Medium
176,Junior Developer,2023-01-02,2023-01-27,25,3155.63,31,19,Pakistan,Canada,126.23,True,Medium
177,Senior IT Support,2024-06-22,2024-07-17,25,5617.42,65,18,Pakistan,United Kingdom,224.7,True,High
178,Senior IT Support,2023-09-17,2023-10-18,31,6178.35,46,26,Philippines,United Kingdom,199.3,False,High
179,Senior IT Support,2023-12-07,2024-01-01,25,6857.51,46,18,India,UAE,274.3,True,High
180,Junior Developer,2024-05-05,2024-06-12,38,3491.15,18,3,Nigeria,Canada,91.87,False,Medium
181,Junior Developer,2023-02-12,2023-03-03,19,1131.42,40,17,Pakistan,Canada,59.55,True,Low
182,HR Manager,2023-07-15,2023-08-20,36,1759.94,100,2,Nigeria,UAE,48.89,False,Low
183,Data Analyst,2024-03-26,2024-04-18,23,2310.85,50,11,India,United States,100.47,True,Medium
184,HR Manager,2023-10-01,2023-11-05,35,2102.04,94,14,Philippines,United Kingdom,60.06,False,Medium
185,Junior Developer,2023-03-23,2023-04-25,33,2636.42,38,10,Philippines,Canada,79.89,False,Medium
186,HR Manager,2024-04-02,2024-05-09,37,3833.22,46,20,Kenya,Canada,103.6,False,Medium
187,Senior IT Support,2024-01-08,2024-02-09,32,3375.21,96,22,India,United States,105.48,False,Medium
188,HR Manager,2024-01-11,2024-01-28,17,4416.9,73,2,Pakistan,Australia,259.82,True,Medium
189,HR Manager,2023-03-20,2023-04-14,25,7744.12,68,12,Pakistan,Canada,309.76,True,High
190,Data Analyst,2023-07-10,2023-08-11,32,1748.83,50,30,India,Australia,54.65,False,Low
191,Data Analyst,2023-10-20,2023-11-08,19,3112.11,63,7,Pakistan,United Kingdom,163.8,True,Medium
192,HR Manager,2023-03-31,2023-04-16,16,3863.28,41,22,Pakistan,UAE,241.46,True,Medium
193,Data Analyst,2023-06-28,2023-07-25,27,3674.0,66,8,Kenya,United Kingdom,136.07,True,Medium
194,Junior Developer,2024-01-05,2024-02-08,34,1710.21,48,15,India,Australia,50.3,False,Low
195,Senior IT Support,2024-05-05,2024-05-29,24,3328.74,99,14,Pakistan,Australia,138.7,True,Medium
196,Data Analyst,2024-06-13,2024-06-30,17,2927.02,100,18,Pakistan,Australia,172.18,True,Medium
197,HR Manager,2023-05-08,2023-05-25,17,5514.32,39,6,Pakistan,United States,324.37,True,High
198,Junior Developer,2023-10-18,2023-11-20,33,2038.07,33,7,India,Australia,61.76,False,Medium
199,Data Analyst,2023-06-22,2023-07-16,24,2843.28,75,5,India,United States,118.47,True,Medium
200,Data Analyst,2023-01-30,2023-03-06,35,3527.59,83,25,Kenya,Australia,100.79,False,Medium
201,Junior Developer,2023-02-01,2023-03-05,32,3300.88,81,18,India,UAE,103.15,False,Medium
202,HR Manager,2024-02-20,2024-03-21,30,1734.63,10,23,Kenya,United Kingdom,57.82,False,Low
203,HR Manager,2023-05-28,2023-06-19,22,5421.26,92,11,Pakistan,UAE,246.42,True,High
204,Data Analyst,2023-09-05,2023-10-01,26,2544.94,35,15,Philippines,United States,97.88,True,Medium
205,Senior IT Support,2024-03-04,2024-03-20,16,4451.06,21,27,Pakistan,UAE,278.19,True,Medium
206,Data Analyst,2024-06-11,2024-07-18,37,1569.5,40,16,Nigeria,United Kingdom,42.42,False,Low
207,HR Manager,2023-12-28,2024-01-18,21,7833.43,37,16,Pakistan,Australia,373.02,True,High
208,HR Manager,2023-04-21,2023-06-01,41,4416.9,34,24,Nigeria,UAE,107.73,False,Medium
209,Data Analyst,2023-07-19,2023-08-22,34,2477.8199999999997,37,3,Nigeria,Canada,72.88,False,Medium
210,Data Analyst,2023-05-02,2023-06-02,31,3475.93,13,13,Philippines,UAE,112.13,False,Medium
211,Data Analyst,2024-06-05,2024-07-08,33,3264.9,6,2,Nigeria,United Kingdom,98.94,False,Medium
212,HR Manager,2024-06-11,2024-07-01,20,2558.0,79,11,Pakistan,United States,127.9,True,Medium
213,Data Analyst,2024-06-05,2024-07-08,33,2781.17,91,19,Philippines,UAE,84.28,False,Medium
214,Data Analyst,2024-03-02,2024-03-26,24,1993.72,93,28,Philippines,United Kingdom,83.07,True,Low
215,Data Analyst,2023-08-22,2023-09-24,33,3901.21,75,16,Kenya,United States,118.22,False,Medium
216,HR Manager,2023-02-02,2023-03-08,34,3738.88,90,4,Philippines,United States,109.97,False,Medium
217,Data Analyst,2023-07-28,2023-08-19,22,2256.34,100,20,Pakistan,Canada,102.56,True,Medium
218,Senior IT Support,2023-11-29,2024-01-09,41,6528.88,62,17,Nigeria,Canada,159.24,False,High
219,HR Manager,2023-12-29,2024-01-22,24,7560.62,93,22,India,UAE,315.03,True,High
220,Junior Developer,2023-11-02,2023-12-05,33,3872.01,39,25,Kenya,UAE,117.33,False,Medium
221,HR Manager,2023-10-08,2023-11-06,29,1951.12,74,22,Kenya,Australia,67.28,False,Low
222,Data Analyst,2023-10-25,2023-11-24,30,3863.83,92,3,Philippines,UAE,128.79,False,Medium
223,Data Analyst,2023-10-05,2023-11-09,35,3242.02,90,9,Nigeria,United States,92.63,False,Medium
224,Junior Developer,2024-06-27,2024-07-21,24,1727.37,30,2,Pakistan,United Kingdom,71.97,True,Low
225,HR Manager,2023-01-06,2023-02-04,29,1301.63,21,14,Philippines,Canada,44.88,False,Low
226,Junior Developer,2023-10-20,2023-11-23,34,3267.73,99,3,Philippines,Australia,96.11,False,Medium
227,Senior IT Support,2023-06-30,2023-07-30,30,7566.15,5,27,India,Canada,252.2,False,High
228,Junior Developer,2023-10-24,2023-11-28,35,3809.83,2,10,Nigeria,Australia,108.85,False,Medium
229,Data Analyst,2024-06-20,2024-07-17,27,1853.68,18,28,Kenya,Australia,68.65,True,Low
230,Junior Developer,2024-04-14,2024-05-12,28,3426.44,92,6,Philippines,United Kingdom,122.37,True,Medium
231,Data Analyst,2023-06-29,2023-07-30,31,2703.34,82,29,Kenya,Canada,87.2,False,Medium
232,Data Analyst,2023-07-09,2023-08-12,34,1260.21,62,11,Nigeria,United States,37.06,False,Low
233,HR Manager,2023-12-04,2023-12-23,19,4177.61,93,19,Pakistan,United Kingdom,219.87,True,Medium
234,Data Analyst,2023-05-02,2023-06-03,32,2477.8199999999997,21,13,India,Australia,77.43,False,Medium
235,Data Analyst,2023-10-30,2023-12-11,42,3070.87,29,8,Nigeria,United States,73.12,False,Medium
236,HR Manager,2024-03-01,2024-03-27,26,6738.67,61,25,Philippines,Australia,259.18,True,High
237,Junior Developer,2023-03-25,2023-05-02,38,3285.58,68,23,Nigeria,UAE,86.46,False,Medium
238,Senior IT Support,2024-06-01,2024-06-25,24,3308.79,69,5,Pakistan,United States,137.87,True,Medium
239,HR Manager,2024-05-15,2024-06-14,30,3581.2,66,15,India,United Kingdom,119.37,False,Medium
240,HR Manager,2024-04-18,2024-05-14,26,4416.9,40,24,Philippines,United Kingdom,169.88,True,Medium
241,Senior IT Support,2023-02-16,2023-03-16,28,6729.02,90,3,Philippines,Australia,240.32,True,High
242,HR Manager,2023-05-19,2023-06-04,16,1095.2,94,21,Pakistan,Canada,68.45,True,Low
243,HR Manager,2024-01-20,2024-02-17,28,7348.1,85,28,India,Australia,262.43,True,High
244,Data Analyst,2024-02-07,2024-03-03,25,1355.9,94,8,Pakistan,United Kingdom,54.24,True,Low
245,Data Analyst,2024-03-10,2024-04-07,28,2389.01,30,8,Nigeria,Canada,85.32,True,Medium
246,Data Analyst,2023-04-26,2023-05-20,24,1565.44,85,14,India,Australia,65.23,True,Low
247,Senior IT Support,2023-02-04,2023-03-18,42,5590.39,87,23,Nigeria,United Kingdom,133.1,False,High
248,Senior IT Support,2023-08-11,2023-09-13,33,5011.33,100,2,India,United States,151.86,False,High
249,Junior Developer,2023-11-23,2023-12-21,28,3447.36,99,22,Philippines,UAE,123.12,True,Medium
250,Junior Developer,2024-02-28,2024-03-25,26,3957.09,8,18,India,Australia,152.2,True,Medium
251,Junior Developer,2024-05-22,2024-06-30,39,2877.98,45,21,Nigeria,Canada,73.79,False,Medium
252,Data Analyst,2023-11-04,2023-12-10,36,3088.93,97,18,Nigeria,Canada,85.8,False,Medium
253,Data Analyst,2024-04-19,2024-05-14,25,3572.62,72,14,India,Canada,142.9,True,Medium
254,Junior Developer,2023-12-05,2024-01-06,32,2165.26,58,28,Philippines,UAE,67.66,False,Medium
255,Junior Developer,2023-02-10,2023-03-05,23,1154.61,25,26,Pakistan,Australia,50.2,True,Low
256,Junior Developer,2023-12-07,2024-01-12,36,2438.18,2,7,Kenya,United States,67.73,False,Medium
257,HR Manager,2023-07-29,2023-08-25,27,3743.32,31,18,Kenya,UAE,138.64,True,Medium
258,HR Manager,2023-11-12,2023-12-14,32,5331.25,66,29,Nigeria,Canada,166.6,False,High
259,HR Manager,2023-07-28,2023-08-22,25,3284.89,53,2,Philippines,Australia,131.4,True,Medium
260,Junior Developer,2024-03-03,2024-04-03,31,1048.66,26,11,Nigeria,United States,33.83,False,Low
261,Junior Developer,2023-12-12,2024-01-14,33,2497.9,63,24,Philippines,Canada,75.69,False,Medium
262,Data Analyst,2024-05-15,2024-06-10,26,1507.8,70,21,Philippines,United Kingdom,57.99,True,Low
263,Senior IT Support,2023-01-07,2023-01-31,24,7725.94,81,8,Philippines,United Kingdom,321.91,True,High
