placement_id,job_title,job_post_date,fill_date,days_to_fill,placement_fee,client_id,recruiter_id,candidate_country,client_country
40,Jr Developer,07/12/2023,06/01/2024,30,,53,26,nigeria,United States
41,Sr IT Support,2024-04-26,2024-05-20,24,,59,12,india,UAE
42,Jr.Developer,2024-02-13,2024-03-24,40,1668.77,9,25,nigeria,UAE
43,HR manager,06/12/2023,07/01/2024,32,3038.55,15,29,IND,UAE
44,Data Analyst,20/12/2023,13/01/2024,24,1114.77,41,14,PK,Australia
45,HR manager,15/02/2023,12/03/2023,25,3698.51,1,17,PH,Australia
46,Junior Dev,05/12/2023,11/01/2024,37,,85,28,kenya,United Kingdom
47,Data Anlyst,2023-10-30,2023-11-29,30,3000.68,25,14,KEN,Canada
48,Jr Developer,2023-01-01,2023-02-07,37,2846.54,27,14,kenya,Australia
49,Data Analysis,2023-08-07,2023-09-12,36,2394.96,95,6,Kenya,United Kingdom
50,Data Analysis,29/08/2023,28/09/2023,30,1280.16,29,26,india,United States
51,Sr.IT Support,2023-03-16,2023-03-31,15,1734.53,81,19,PK,United States
52,HR manager,06/01/2023,12/02/2023,37,2483.13,99,29,KEN,United Kingdom
53,Jr.Developer,2024-06-14,2024-07-18,34,1527.66,72,8,Nigeria,United Kingdom
54,Human Resources Manager,21/11/2023,17/12/2023,26,6337.89,57,20,philippines,Australia
55,Human Resources Manager,2024-05-01,2024-06-02,32,7486.04,97,8,Philippines,UAE
56,HR Mgr,21/03/2023,30/04/2023,40,2880.25,31,9,Nigeria,UAE
57,Senior IT,06/06/2023,06/07/2023,30,3691.87,9,14,IND,Canada
58,Human Resources Manager,2024-03-06,2024-04-05,30,5078.87,99,19,IND,United Kingdom
59,HR manager,02/11/2023,14/12/2023,42,2430.94,54,18,nigeria,Australia
60,Jr.Developer,2024-05-12,2024-06-18,37,2464.69,44,22,Nigeria,Canada
61,Human Resources Manager,28/01/2023,25/02/2023,28,7597.71,76,19,KEN,United Kingdom
62,H.R. Manager,2023-02-21,2023-03-18,25,3678.5,42,7,pak,Canada
63,HR manager,2024-03-07,2024-04-03,27,1834.77,11,16,IND,United Kingdom
64,Sr.IT Support,12/03/2023,15/04/2023,34,3999.72,84,2,KEN,United Kingdom
65,Senior IT Support,29/04/2024,24/05/2024,25,6106.68,73,7,India,Canada
66,DataAnalyst,28/04/2023,28/05/2023,30,1503.37,21,10,KEN,United Kingdom
67,Data Anlyst,2024-01-20,2024-02-15,26,2727.39,92,7,Kenya,United Kingdom
68,Jr.Developer,04/05/2023,10/06/2023,37,1305.7,73,26,Kenya,United Kingdom
69,H.R. Manager,2023-12-16,2024-01-15,30,,54,27,IND,Canada
70,DataAnalyst,2023-06-06,2023-06-27,21,2906.76,94,17,pak,UAE
71,HR Mgr,2023-10-02,2023-11-09,38,2394.62,32,27,Kenya,United Kingdom
72,Jr.Developer,2024-01-24,2024-02-22,29,3251.43,64,28,india,UAE
73,Junior Dev,14/10/2023,05/11/2023,22,2064.47,90,29,PK,UAE
74,Junior Dev,2024-05-15,2024-06-08,24,1256.84,31,23,PH,Canada
75,HR Mgr,2023-10-29,2023-12-05,37,,89,8,kenya,UAE
76,DataAnalyst,11/03/2024,15/04/2024,35,2419.78,71,11,kenya,UAE
77,Data Analyst,2023-07-17,2023-08-19,33,1919.87,96,18,KEN,United States
78,HR Mgr,2024-06-21,2024-07-16,25,1829.5,13,27,India,United States
79,DataAnalyst,2023-05-10,2023-06-04,25,,7,18,india,UAE
80,HR Mgr,2023-10-19,2023-11-16,28,,57,11,KEN,United States
81,HR Mgr,2024-05-18,2024-06-06,19,,81,22,Pakistan,United Kingdom
82,Data Anlyst,02/03/2024,19/03/2024,17,1255.54,80,8,PK,Australia
83,Human Resources Manager,2024-03-15,2024-04-15,31,4486.77,80,2,Philippines,Australia
84,Junior Dev,2023-03-25,2023-04-21,27,2876.55,23,18,KEN,United Kingdom
85,H.R. Manager,2023-10-26,2023-11-10,15,5252.52,37,23,PK,UAE
86,Senior IT,2023-07-22,2023-08-24,33,6436.92,70,8,KEN,United States
87,Junior Developer,2023-11-11,2023-12-13,32,1214.23,73,30,NG,UAE
88,Human Resources Manager,2023-10-06,2023-10-31,25,6443.39,64,15,philippines,United Kingdom
89,H.R. Manager,2023-01-27,2023-02-22,26,6672.67,87,27,Kenya,Australia
90,Data Analyst,2023-06-29,2023-07-25,26,2728.74,84,15,Kenya,UAE
91,H.R. Manager,2023-04-04,2023-04-28,24,6173.92,53,11,PK,UAE
92,Jr Developer,23/10/2023,19/11/2023,27,1989.41,52,27,kenya,Australia
93,Senior IT,18/02/2024,11/03/2024,22,4572.59,1,22,Pakistan,Australia
94,Sr.IT Support,25/05/2024,24/06/2024,30,1562.75,98,2,philippines,United States
95,Junior Developer,2024-05-11,2024-06-10,30,3783.02,81,20,india,United States
96,Data Anlyst,2023-04-06,2023-05-04,28,2652.52,15,15,KEN,United Kingdom
97,HR Mgr,2023-10-07,2023-11-04,28,3797.96,62,16,kenya,United States
98,Junior Developer,04/06/2024,06/07/2024,32,2150.76,18,28,philippines,United Kingdom
99,H.R. Manager,01/10/2023,04/11/2023,34,4699.38,37,24,india,UAE
100,HR Mgr,2024-05-10,2024-06-16,37,3595.78,71,25,nigeria,Australia
101,Data Analysis,2023-09-02,2023-10-03,31,3608.81,30,28,Philippines,Canada
102,HR Mgr,31/01/2024,20/02/2024,20,3115.68,84,5,Pakistan,Canada
103,Data Analysis,2024-03-26,2024-04-12,17,3609.1,59,1,Pakistan,United States
104,Junior Developer,2023-09-29,2023-11-02,34,1224.48,89,13,Philippines,United Kingdom
105,HR manager,14/05/2024,16/06/2024,33,3862.42,5,20,nigeria,United Kingdom
106,Data Anlyst,20/03/2024,21/04/2024,32,3992.28,98,21,India,United Kingdom
107,Data Anlyst,2023-02-27,2023-03-25,26,,48,14,philippines,United States
108,H.R. Manager,2023-06-24,2023-07-24,30,5829.64,79,28,India,Canada
109,Jr.Developer,2023-08-26,2023-10-01,36,2493.0,33,15,Kenya,UAE
110,Human Resources Manager,2023-06-11,2023-07-07,26,7506.05,45,19,kenya,UAE
111,Data Analyst,29/01/2024,01/03/2024,32,2370.51,14,8,kenya,Canada
112,Data Anlyst,2024-02-10,2024-03-12,31,3978.08,73,28,Kenya,United Kingdom
113,HR Mgr,24/08/2023,30/09/2023,37,3498.52,46,8,NG,United States
114,Junior Developer,2023-02-10,2023-03-12,30,2884.74,57,2,Kenya,Australia
115,Junior Developer,2024-03-01,2024-04-03,33,1270.4,17,26,IND,Australia
116,Data Analyst,08/05/2024,10/06/2024,33,3491.42,38,24,NG,UAE
117,Human Resources Manager,20/08/2023,18/09/2023,29,7814.47,93,22,Nigeria,Canada
118,DataAnalyst,2023-09-28,2023-11-07,40,1270.91,59,12,nigeria,UAE
119,DataAnalyst,26/01/2023,27/02/2023,32,1325.04,72,11,Kenya,Australia
120,Senior IT,06/11/2023,08/12/2023,32,6177.02,15,5,India,United Kingdom
121,HR Mgr,2023-05-19,2023-06-07,19,1348.36,48,22,Pakistan,Australia
122,Junior Developer,16/05/2024,18/06/2024,33,3656.24,36,2,Philippines,UAE
123,Human Resources Manager,12/04/2023,11/05/2023,29,7752.78,48,18,India,UAE
124,Data Analyst,2024-04-10,2024-05-01,21,1569.43,28,21,Pakistan,Australia
125,Data Analysis,2023-07-30,2023-08-14,15,1730.71,98,18,Pakistan,United States
126,Jr.Developer,2023-01-03,2023-02-01,29,1985.68,19,5,Kenya,Australia
127,Jr Developer,2023-05-15,2023-06-18,34,1329.78,31,19,india,UAE
128,Data Analyst,2024-06-22,2024-07-09,17,1157.2,9,16,Pakistan,Canada
129,Sr IT Support,14/02/2023,19/03/2023,33,2356.02,85,17,Nigeria,UAE
130,Senior IT Support,2024-02-16,2024-03-21,34,3304.13,14,16,philippines,Canada
131,Data Analysis,09/10/2023,25/10/2023,16,,75,18,pak,UAE
132,Data Anlyst,12/04/2023,15/05/2023,33,2361.15,15,28,Philippines,Australia
133,H.R. Manager,14/12/2023,12/01/2024,29,5257.77,52,14,KEN,United Kingdom
134,Data Analysis,06/06/2023,04/07/2023,28,2995.32,61,3,IND,United Kingdom
135,Senior IT,17/01/2024,15/02/2024,29,5159.38,72,2,nigeria,Australia
136,Data Analysis,09/03/2024,10/04/2024,32,3010.04,93,2,PH,UAE
137,DataAnalyst,08/06/2023,08/07/2023,30,1310.8,29,28,Kenya,United Kingdom
138,DataAnalyst,20/08/2023,19/09/2023,30,1344.66,72,25,IND,Australia
139,Senior IT Support,2023-10-01,2023-11-06,36,6044.97,35,23,Kenya,UAE
140,DataAnalyst,2024-02-15,2024-03-19,33,1018.32,95,21,NG,United Kingdom
141,Junior Dev,2023-06-11,2023-07-04,23,2128.58,93,11,pak,Australia
142,Sr.IT Support,20/02/2023,19/03/2023,27,1466.74,35,15,Kenya,Canada
143,Human Resources Manager,2024-06-08,2024-07-11,33,5070.92,56,4,philippines,UAE
144,HR Mgr,2023-08-14,2023-09-19,36,2580.8,77,2,kenya,United Kingdom
145,Junior Dev,2023-10-24,2023-11-19,26,3302.05,1,16,India,Canada
146,HR manager,2023-12-29,2024-01-15,17,2597.75,95,2,PK,Canada
147,Senior IT,19/02/2024,12/03/2024,22,7310.55,54,10,Pakistan,United Kingdom
148,Data Analysis,16/04/2024,10/05/2024,24,1515.62,47,3,Philippines,Canada
149,Jr.Developer,2023-03-22,2023-04-20,29,2307.03,40,24,nigeria,UAE
150,Jr Developer,2024-06-27,2024-07-24,27,1229.14,100,12,India,UAE
151,Junior Developer,2023-07-22,2023-08-27,36,1708.81,20,25,KEN,United Kingdom
152,HR Mgr,04/04/2024,29/04/2024,25,2391.86,73,21,PK,Australia
153,Data Analysis,28/03/2024,29/04/2024,32,,36,19,IND,United Kingdom
154,Senior IT,2023-02-28,2023-03-30,30,4552.04,37,3,IND,United Kingdom
155,HR manager,2023-02-12,2023-03-19,35,2388.13,74,21,Kenya,United States
156,HR Mgr,2024-04-06,2024-05-07,31,2504.1,44,23,IND,United Kingdom
157,Jr Developer,2024-03-25,2024-04-28,34,1117.43,79,6,PH,UAE
158,HR manager,23/02/2023,21/03/2023,26,2226.31,83,11,IND,United Kingdom
159,HR manager,2023-06-03,2023-06-26,23,1852.44,75,22,IND,United States
160,Data Anlyst,2024-02-06,2024-03-10,33,3903.09,91,3,NG,UAE
161,Data Analysis,2024-06-23,2024-07-23,30,3439.55,86,14,PH,Australia
162,DataAnalyst,16/12/2023,07/01/2024,22,1926.6,63,7,IND,United States
163,Senior IT,03/06/2024,20/06/2024,17,4478.96,95,29,PK,Australia
164,Data Analysis,2024-01-21,2024-02-15,25,3629.18,24,27,Pakistan,Australia
165,Jr Developer,09/01/2024,20/02/2024,42,,31,15,Nigeria,Australia
166,Human Resources Manager,25/04/2024,29/05/2024,34,4170.01,25,12,india,Australia
167,Data Anlyst,04/03/2024,04/04/2024,31,3334.37,26,26,philippines,Australia
168,Sr.IT Support,16/04/2023,05/05/2023,19,2923.54,67,28,PK,United Kingdom
169,Jr Developer,31/05/2023,23/06/2023,23,1818.37,12,30,india,United States
170,DataAnalyst,2024-02-10,2024-03-16,35,3791.42,31,13,nigeria,United Kingdom
171,Senior IT Support,10/12/2023,04/01/2024,25,4593.42,18,2,IND,UAE
172,HR Mgr,2024-04-25,2024-06-05,41,3088.22,1,29,NG,United Kingdom
173,Junior Dev,2024-06-24,2024-07-13,19,3504.89,100,10,Pakistan,United States
174,Sr.IT Support,2024-04-13,2024-05-06,23,1715.32,64,20,india,Australia
175,Jr.Developer,02/01/2023,27/01/2023,25,3155.63,31,19,Pakistan,Canada
176,Senior IT,2024-06-22,2024-07-17,25,5617.42,65,18,PK,United Kingdom
177,Sr.IT Support,17/09/2023,18/10/2023,31,2907.01,46,26,Philippines,United Kingdom
178,Sr IT Support,2023-12-07,2024-01-01,25,3314.5,46,18,IND,UAE
179,Jr Developer,05/05/2024,12/06/2024,38,3491.15,18,3,nigeria,Canada
180,Junior Dev,2023-02-12,2023-03-03,19,1131.42,40,17,Pakistan,Canada
181,HR Mgr,2023-07-15,2023-08-20,36,1759.94,100,2,nigeria,UAE
182,DataAnalyst,26/03/2024,18/04/2024,23,2310.85,50,11,india,United States
183,HR Mgr,01/10/2023,05/11/2023,35,2102.04,94,14,philippines,United Kingdom
184,Jr Developer,2023-03-23,2023-04-25,33,2636.42,38,10,Philippines,Canada
185,H.R. Manager,2024-04-02,2024-05-09,37,3833.22,46,20,Kenya,Canada
186,Sr.IT Support,2024-01-08,2024-02-09,32,1225.12,96,22,india,United States
187,Human Resources Manager,2024-01-11,2024-01-28,17,,73,2,Pakistan,Australia
188,Human Resources Manager,2023-03-20,2023-04-14,25,7744.12,68,12,PK,Canada
189,Data Analyst,2023-07-10,2023-08-11,32,1748.83,50,30,IND,Australia
190,Data Analyst,20/10/2023,08/11/2023,19,3112.11,63,7,pak,United Kingdom
191,Human Resources Manager,31/03/2023,16/04/2023,16,3863.28,41,22,PK,UAE
192,Data Anlyst,28/06/2023,25/07/2023,27,3674.0,66,8,KEN,United Kingdom
193,Junior Developer,2024-01-05,2024-02-08,34,1710.21,48,15,India,Australia
194,Senior IT,2024-05-05,2024-05-29,24,3328.74,99,14,PK,Australia
195,Data Analysis,2024-06-13,2024-06-30,17,2927.02,100,18,pak,Australia
196,H.R. Manager,2023-05-08,2023-05-25,17,5514.32,39,6,PK,United States
197,Jr.Developer,18/10/2023,20/11/2023,33,2038.07,33,7,IND,Australia
198,Data Anlyst,2023-06-22,2023-07-16,24,2843.28,75,5,india,United States
199,Data Analysis,2023-01-30,2023-03-06,35,3527.59,83,25,kenya,Australia
200,Junior Dev,2023-02-01,2023-03-05,32,3300.88,81,18,india,UAE
201,HR Mgr,2024-02-20,2024-03-21,30,1734.63,10,23,kenya,United Kingdom
202,H.R. Manager,2023-05-28,2023-06-19,22,5421.26,92,11,PK,UAE
203,DataAnalyst,2023-09-05,2023-10-01,26,2544.94,35,15,Philippines,United States
204,Sr.IT Support,2024-03-04,2024-03-20,16,1870.64,21,27,PK,UAE
205,Data Analysis,2024-06-11,2024-07-18,37,1569.5,40,16,NG,United Kingdom
206,Human Resources Manager,2023-12-28,2024-01-18,21,7833.43,37,16,pak,Australia
207,HR Mgr,2023-04-21,2023-06-01,41,,34,24,NG,UAE
208,DataAnalyst,2023-07-19,2023-08-22,34,,37,3,Nigeria,Canada
209,Data Analyst,2023-05-02,2023-06-02,31,3475.93,13,13,PH,UAE
210,DataAnalyst,2024-06-05,2024-07-08,33,3264.9,6,2,Nigeria,United Kingdom
211,HR Mgr,2024-06-11,2024-07-01,20,2558.0,79,11,PK,United States
212,Data Anlyst,2024-06-05,2024-07-08,33,2781.17,91,19,Philippines,UAE
213,DataAnalyst,2024-03-02,2024-03-26,24,1993.72,93,28,philippines,United Kingdom
214,Data Analyst,22/08/2023,24/09/2023,33,3901.21,75,16,Kenya,United States
215,HR manager,2023-02-02,2023-03-08,34,1443.33,90,4,PH,United States
216,Data Analysis,2023-07-28,2023-08-19,22,2256.34,100,20,Pakistan,Canada
217,Sr.IT Support,29/11/2023,09/01/2024,41,3117.33,62,17,nigeria,Canada
218,Human Resources Manager,29/12/2023,22/01/2024,24,7560.62,93,22,IND,UAE
219,Junior Dev,2023-11-02,2023-12-05,33,3872.01,39,25,Kenya,UAE
220,HR Mgr,2023-10-08,2023-11-06,29,1951.12,74,22,KEN,Australia
221,DataAnalyst,2023-10-25,2023-11-24,30,3863.83,92,3,Philippines,UAE
222,Data Analyst,05/10/2023,09/11/2023,35,3242.02,90,9,NG,United States
223,Jr.Developer,2024-06-27,2024-07-21,24,1727.37,30,2,pak,United Kingdom
224,HR Mgr,06/01/2023,04/02/2023,29,1301.63,21,14,Philippines,Canada
225,Junior Dev,20/10/2023,23/11/2023,34,3267.73,99,3,philippines,Australia
226,Sr.IT Support,30/06/2023,30/07/2023,30,3739.69,5,27,India,Canada
227,Jr Developer,24/10/2023,28/11/2023,35,3809.83,2,10,Nigeria,Australia
228,Data Analysis,2024-06-20,2024-07-17,27,1853.68,18,28,Kenya,Australia
229,Junior Dev,14/04/2024,12/05/2024,28,3426.44,92,6,philippines,United Kingdom
230,Data Anlyst,29/06/2023,30/07/2023,31,2703.34,82,29,KEN,Canada
231,Data Analysis,09/07/2023,12/08/2023,34,1260.21,62,11,nigeria,United States
232,HR manager,2023-12-04,2023-12-23,19,1706.56,93,19,Pakistan,United Kingdom
233,DataAnalyst,2023-05-02,2023-06-03,32,,21,13,india,Australia
234,Data Anlyst,2023-10-30,2023-12-11,42,3070.87,29,8,NG,United States
235,Human Resources Manager,01/03/2024,27/03/2024,26,6738.67,61,25,philippines,Australia
236,Junior Dev,2023-03-25,2023-05-02,38,3285.58,68,23,Nigeria,UAE
237,Sr IT Support,2024-06-01,2024-06-25,24,1185.27,69,5,pak,United States
238,Human Resources Manager,2024-05-15,2024-06-14,30,3581.2,66,15,IND,United Kingdom
239,H.R. Manager,18/04/2024,14/05/2024,26,,40,24,philippines,United Kingdom
240,Senior IT Support,2023-02-16,2023-03-16,28,6729.02,90,3,Philippines,Australia
241,HR Mgr,19/05/2023,04/06/2023,16,1095.2,94,21,Pakistan,Canada
242,Human Resources Manager,2024-01-20,2024-02-17,28,7348.1,85,28,IND,Australia
243,DataAnalyst,2024-02-07,2024-03-03,25,1355.9,94,8,PK,United Kingdom
244,Data Anlyst,2024-03-10,2024-04-07,28,2389.01,30,8,Nigeria,Canada
245,Data Analyst,2023-04-26,2023-05-20,24,1565.44,85,14,IND,Australia
246,Senior IT Support,2023-02-04,2023-03-18,42,,87,23,Nigeria,United Kingdom
247,Sr.IT Support,11/08/2023,13/09/2023,33,2206.8,100,2,India,United States
248,Jr.Developer,2023-11-23,2023-12-21,28,3447.36,99,22,PH,UAE
249,Junior Developer,2024-02-28,2024-03-25,26,3957.09,8,18,India,Australia
250,Jr Developer,2024-05-22,2024-06-30,39,2877.98,45,21,NG,Canada
251,Data Analysis,2023-11-04,2023-12-10,36,3088.93,97,18,Nigeria,Canada
252,Data Anlyst,19/04/2024,14/05/2024,25,3572.62,72,14,India,Canada
253,Junior Developer,05/12/2023,06/01/2024,32,2165.26,58,28,PH,UAE
254,Junior Dev,10/02/2023,05/03/2023,23,1154.61,25,26,pak,Australia
255,Junior Dev,2023-12-07,2024-01-12,36,2438.18,2,7,KEN,United States
256,HR Mgr,2023-07-29,2023-08-25,27,3743.32,31,18,KEN,UAE
257,HR manager,2023-11-12,2023-12-14,32,2398.75,66,29,Nigeria,Canada
258,HR Mgr,2023-07-28,2023-08-22,25,3284.89,53,2,philippines,Australia
259,Junior Developer,2024-03-03,2024-04-03,31,1048.66,26,11,nigeria,United States
260,Jr.Developer,2023-12-12,2024-01-14,33,2497.9,63,24,Philippines,Canada
261,DataAnalyst,2024-05-15,2024-06-10,26,1507.8,70,21,philippines,United Kingdom
262,Senior IT,2023-01-07,2023-01-31,24,7725.94,81,8,PH,United Kingdom
263,Senior IT Support,03/03/2023,31/03/2023,28,4093.6,86,30,KEN,Australia
264,HR Mgr,2024-02-26,2024-04-01,35,1047.2,68,24,NG,UAE
265,Senior IT Support,16/03/2024,13/04/2024,28,5511.08,23,4,PH,United Kingdom
266,Jr.Developer,2023-12-29,2024-01-24,26,1575.8,51,3,PH,UAE
267,Jr.Developer,24/03/2023,24/04/2023,31,3970.7,84,25,Philippines,United Kingdom
268,HR manager,10/01/2023,31/01/2023,21,2131.51,11,16,pak,Canada
269,Data Analysis,08/04/2023,16/05/2023,38,2697.57,6,8,kenya,United States
270,HR Mgr,15/10/2023,25/11/2023,41,1813.29,73,22,NG,United Kingdom
271,Senior IT Support,12/02/2024,03/03/2024,20,7807.35,39,6,PK,Australia
272,HR manager,29/01/2024,29/02/2024,31,3031.1,18,26,India,United Kingdom
273,DataAnalyst,2023-03-19,2023-04-23,35,1161.09,99,20,PH,Australia
274,Data Analysis,2024-04-06,2024-05-12,36,1088.88,46,18,Philippines,Canada
275,HR manager,10/09/2023,06/10/2023,26,1257.08,11,9,Philippines,United States
276,Junior Developer,2023-04-20,2023-05-25,35,3218.97,40,15,Philippines,UAE
277,Sr IT Support,2024-04-04,2024-05-06,32,1397.52,66,14,Nigeria,United Kingdom
278,DataAnalyst,29/11/2023,15/12/2023,16,2662.66,2,10,Pakistan,Canada
279,Senior IT,2023-09-06,2023-10-12,36,6624.22,22,22,Philippines,Canada
280,Data Analyst,2023-03-06,2023-03-23,17,1903.39,36,14,PK,UAE
281,Senior IT,2024-05-22,2024-06-27,36,4805.62,26,15,philippines,United Kingdom
282,Senior IT Support,25/01/2024,13/02/2024,19,7744.12,43,15,PK,UAE
283,Junior Developer,2023-07-25,2023-08-28,34,1901.31,23,13,Philippines,UAE
284,HR Mgr,2023-11-30,2024-01-02,33,3903.29,51,12,india,United Kingdom
285,Junior Dev,28/01/2023,06/03/2023,37,2776.68,60,23,NG,United States
286,Data Anlyst,23/02/2024,30/03/2024,36,,18,21,philippines,UAE
287,Junior Developer,2023-03-17,2023-04-12,26,3145.71,77,16,India,Australia
288,H.R. Manager,04/01/2024,05/02/2024,32,5718.23,69,20,Philippines,United Kingdom
289,DataAnalyst,14/02/2024,03/03/2024,18,1499.02,43,26,pak,Canada
290,Sr IT Support,2024-06-15,2024-06-30,15,1776.22,89,19,pak,United States
291,HR manager,2024-05-27,2024-06-25,29,2389.19,4,16,philippines,United Kingdom
292,Senior IT,2023-05-26,2023-06-23,28,3580.35,44,15,india,United States
293,DataAnalyst,2024-04-08,2024-05-09,31,2428.49,39,2,PH,United Kingdom
294,Sr IT Support,2023-09-07,2023-09-27,20,3031.42,71,6,Pakistan,UAE
295,Human Resources Manager,2023-07-08,2023-08-07,30,4159.28,85,14,PH,Canada
296,Junior Dev,05/01/2023,29/01/2023,24,2348.73,27,9,Pakistan,United Kingdom
297,Jr Developer,2023-04-27,2023-05-24,27,2097.38,63,17,Kenya,UAE
298,HR manager,13/04/2024,15/05/2024,32,2761.01,87,23,Kenya,UAE
299,Senior IT,2023-09-02,2023-10-09,37,6360.55,24,12,NG,United States
300,H.R. Manager,2024-03-09,2024-04-08,30,5982.13,82,18,PH,United States
301,HR Mgr,06/04/2024,02/05/2024,26,1866.5,46,1,PH,Canada
302,HR manager,2024-05-21,2024-06-08,18,3891.49,63,14,PK,Canada
303,Senior IT,2023-08-14,2023-09-09,26,5826.99,36,8,philippines,Australia
304,Human Resources Manager,2024-05-22,2024-06-15,24,5828.25,15,19,india,United Kingdom
305,DataAnalyst,2024-03-27,2024-04-30,34,2626.13,55,4,india,United States
306,Human Resources Manager,2023-03-31,2023-04-22,22,4314.08,16,25,india,United States
307,DataAnalyst,2024-03-14,2024-04-17,34,3583.15,18,26,India,United States
308,Sr.IT Support,2023-06-22,2023-07-23,31,2710.22,91,10,nigeria,UAE
309,Sr IT Support,26/02/2024,27/03/2024,30,1406.77,36,28,Kenya,United States
310,Jr.Developer,11/09/2023,09/10/2023,28,1438.73,87,13,KEN,Canada
311,Data Analyst,19/03/2023,12/04/2023,24,2883.44,99,3,PK,Canada
312,Data Analyst,10/04/2024,15/05/2024,35,3084.11,42,19,PH,United Kingdom
313,Senior IT,02/01/2024,11/02/2024,40,6654.66,69,13,nigeria,United States
314,HR Mgr,2023-12-12,2024-01-08,27,1805.61,17,19,Philippines,Canada
315,Sr.IT Support,2024-04-15,2024-05-18,33,1137.83,21,15,Nigeria,Canada
316,Junior Dev,2023-11-06,2023-11-27,21,3987.08,36,3,Pakistan,UAE
317,DataAnalyst,2023-02-23,2023-03-18,23,2993.53,40,24,india,United States
318,Senior IT,2024-05-03,2024-06-06,34,,76,8,Philippines,Australia
319,Senior IT Support,04/05/2023,06/06/2023,33,3040.31,55,23,kenya,United States
320,Jr.Developer,2023-04-15,2023-05-10,25,2149.21,48,29,philippines,UAE
321,Junior Developer,2023-03-12,2023-04-02,21,2924.73,2,20,PK,United States
322,Junior Dev,26/02/2024,26/03/2024,29,2884.24,57,28,philippines,United States
323,Junior Developer,2024-01-29,2024-02-14,16,3257.34,55,11,pak,United States
324,Senior IT,19/10/2023,14/11/2023,26,4240.84,89,1,India,UAE
325,Junior Dev,25/02/2023,27/03/2023,30,3243.53,31,16,India,Canada
326,HR Mgr,13/01/2023,31/01/2023,18,,41,5,pak,Canada
